6,32.0,0.5,3.868525213539141e-5,0.39999889111708464,MAXEVAL_REACHED
7,64.0,0.5,3.7874511544159784e-5,0.3999994914960294,MAXEVAL_REACHED
8,128.0,0.5,3.758665592813137e-5,0.39981366335600027,FTOL_REACHED
9,256.0,0.5,3.751541192897285e-5,0.3997373839723065,FTOL_REACHED
10,512.0,0.5,3.7494348695116866e-5,0.39971879423658124,FTOL_REACHED
1,1.0,0.5,6.992473494461785e-5,0.3999798022144168,MAXEVAL_REACHED
2,2.0,0.5,6.638728180201383e-5,0.3958906146838425,FTOL_REACHED
3,4.0,0.5,5.960973261421053e-5,0.38800070328343167,FTOL_REACHED
4,8.0,0.5,4.442110509441151e-5,0.39999870031770846,MAXEVAL_REACHED
5,16.0,0.5,4.0442752502908174e-5,0.399999226123954,MAXEVAL_REACHED
6,32.0,0.5,3.868525213539141e-5,0.39999889111708464,MAXEVAL_REACHED
7,64.0,0.5,3.7874511544159784e-5,0.3999994914960294,MAXEVAL_REACHED
8,128.0,0.5,3.758665592813137e-5,0.39981366335600027,FTOL_REACHED
9,256.0,0.5,3.751541192897285e-5,0.3997373839723065,FTOL_REACHED
10,512.0,0.5,3.7494348695116866e-5,0.39971879423658124,FTOL_REACHED
1,1.0,0.5,6.992473494461785e-5,0.3999798022144168,MAXEVAL_REACHED
2,2.0,0.5,6.638728180201383e-5,0.3958906146838425,FTOL_REACHED
3,4.0,0.5,5.960973261421053e-5,0.38800070328343167,FTOL_REACHED
4,8.0,0.5,4.442110509441151e-5,0.39999870031770846,MAXEVAL_REACHED
5,16.0,0.5,4.0442752502908174e-5,0.399999226123954,MAXEVAL_REACHED
6,32.0,0.5,3.868525213539141e-5,0.39999889111708464,MAXEVAL_REACHED
7,64.0,0.5,3.7874511544159784e-5,0.3999994914960294,MAXEVAL_REACHED
8,128.0,0.5,3.758665592813137e-5,0.39981366335600027,FTOL_REACHED
9,256.0,0.5,3.751541192897285e-5,0.3997373839723065,FTOL_REACHED
10,512.0,0.5,3.7494348695116866e-5,0.39971879423658124,FTOL_REACHED
1,1.0,0.5,6.992473494461785e-5,0.3999798022144168,MAXEVAL_REACHED
2,2.0,0.5,6.638728180201383e-5,0.3958906146838425,FTOL_REACHED
3,4.0,0.5,5.960973261421053e-5,0.38800070328343167,FTOL_REACHED
4,8.0,0.5,4.442110509441151e-5,0.39999870031770846,MAXEVAL_REACHED
5,16.0,0.5,4.0442752502908174e-5,0.399999226123954,MAXEVAL_REACHED
6,32.0,0.5,3.868525213539141e-5,0.39999889111708464,MAXEVAL_REACHED
7,64.0,0.5,3.7874511544159784e-5,0.3999994914960294,MAXEVAL_REACHED
8,128.0,0.5,3.758665592813137e-5,0.39981366335600027,FTOL_REACHED
9,256.0,0.5,3.751541192897285e-5,0.3997373839723065,FTOL_REACHED
10,512.0,0.5,3.7494348695116866e-5,0.39971879423658124,FTOL_REACHED
